@Ordspråk|Vad är
Pentagon|Det femsidiga byggnadskomplexet i Virginia fungerar som högkvarter för USA:s försvarsdepartement.
Route 66|Den historiska landsvägen mellan Chicago och Los Angeles har blivit en symbol för den klassiska amerikanska bilresan västerut.
Mardi Gras i New Orleans|Parader, färgstarka pärlor och karnevalsfirande före fastan är särskilt berömda i denna amerikanska tradition.
Stars and Stripes|Detta smeknamn på landets flagga syftar på dess stjärnor och tretton röda och vita ränder.
Library of Congress|Den federala institutionen i Washington är ett av världens största bibliotek och fungerar som forskningsbibliotek åt kongressen.
Pledge of Allegiance|Den korta trohetseden till landets flagga reciteras ofta i amerikanska skolor och innehåller orden “one nation under God”.
Theodore Roosevelt National Park|Denna nationalpark i North Dakota bevarar badlandslandskap starkt förknippade med en framtida presidents tid som ranchägare.
Super Bowl|Finalen i den professionella amerikanska fotbollsligan NFL är ett enormt tv-evenemang med en berömd halvtidsshow.
Kongressen|Landets federala lagstiftande församling består av senaten och representanthuset och sammanträder i Kapitolium.
Navajo Nation|Detta stora självstyrande urfolksområde sträcker sig över delar av Arizona, New Mexico och Utah.
Gettysburg|I denna stad i Pennsylvania utkämpades 1863 ett avgörande slag i inbördeskriget och Lincoln höll senare ett berömt tal.
Ellis Island|Miljontals immigranter passerade genom denna ö i New Yorks hamn när de anlände till USA under slutet av 1800-talet och början av 1900-talet.
Area 51|Den hemlighetsfulla militära anläggningen i Nevada har länge omgärdats av rykten om UFO:n och utomjordisk teknologi.
Electoral College|Presidenten väljs formellt genom detta system där delstaterna tilldelas elektorer utifrån representationen i kongressen.
Fourth of July|Landets självständighetsdag firas på detta datum till minne av självständighetsförklaringen från 1776.
Uncle Sam|Den skäggige figuren i stjärnprydd cylinderhatt används som personifikation av USA och blev känd från rekryteringsaffischer.
The Star-Spangled Banner|Landets nationalsång har text från en dikt inspirerad av bombardemanget av Fort McHenry under 1812 års krig.
Appalachian Trail|Den långa vandringsleden sträcker sig genom östra USA från Georgia till Maine och korsar många bergsområden.
Federal Reserve|USA:s centralbankssystem ansvarar bland annat för penningpolitik och består av en styrelse samt regionala centralbanker.
Louisiana Purchase|Genom detta köp från Frankrike 1803 fördubblade USA ungefär sitt territorium och fick enorma landområden väster om Mississippi.
Homestead Act|Lagen från 1862 gav många nybyggare möjlighet att få federal mark om de bosatte sig och brukade den under flera år.
Dust Bowl|Svår torka och erosion på 1930-talet skapade enorma dammstormar som drev många jordbrukarfamiljer bort från Great Plains.
Interstate Highway System|Det federala motorvägsnätet byggdes ut kraftigt från 1950-talet och förknippas starkt med president Dwight D. Eisenhower.

@USA:s delstater|Vad är
Kalifornien|Los Angeles, San Francisco och Silicon Valley ligger i denna folkrika delstat längs Stilla havets kust.
Texas|Austin är huvudstad i denna stora sydliga delstat som länge förknippats med rancher, olja och en ensam stjärna på flaggan.
Florida|Miami, Everglades och rymdcentret Cape Canaveral ligger i denna långsträckta delstat på en halvö.
Ohio|Columbus är huvudstad i denna delstat vid Eriesjön som har gett USA ovanligt många presidenter och astronauter.
North Carolina|Raleigh är huvudstad i denna sydöstra delstat där bröderna Wright genomförde sin första motordrivna flygning vid Kitty Hawk.
Alaska|Landets största delstat till ytan ligger skild från de övriga och köptes från Ryssland på 1800-talet.
Arizona|Grand Canyon och huvudstaden Phoenix ligger i denna torra sydvästliga delstat.
Nevada|Las Vegas och stora ökenområden ligger i denna delstat vars huvudstad heter Carson City.
Louisiana|New Orleans, cajunkultur och Mississippideltat är starkt förknippade med denna delstat vid Mexikanska golfen.
Colorado|Denver är huvudstad i denna delstat där Klippiga bergen dominerar landskapet.
Massachusetts|Boston är huvudstad i denna delstat där både Harvard University och de tidiga händelserna i amerikanska revolutionen finns starkt representerade.
Pennsylvania|Philadelphia och Pittsburgh är stora städer i denna delstat, vars huvudstad är Harrisburg.
Washington|Seattle ligger i denna nordvästliga delstat vid Stilla havet, medan Olympia är dess huvudstad.
Georgia|Atlanta är huvudstad i denna sydstat som också är känd för persikor och historisk bomullsodling.
Illinois|Chicago är den största staden i denna delstat, medan Springfield är huvudstad och starkt förknippad med Abraham Lincoln.
Michigan|Delstaten består av två stora halvöar och omges av fyra av de fem stora sjöarna.
Tennessee|Nashville och Memphis ligger i denna delstat som förknippas med countrymusik, blues och whiskeyproduktion.
Utah|Salt Lake City är huvudstad i denna västliga delstat som har en stark historisk koppling till mormonkyrkan.
Oregon|Portland är den största staden i denna delstat vid Stilla havet, medan Salem är huvudstad.
Maine|Detta är den nordöstligaste delstaten i det sammanhängande USA och är känd för klippig kust och hummer.
Vermont|Denna lilla delstat i New England är känd för lönnsirap och var länge en självständig republik innan den gick med i unionen.
Delaware|Denna lilla delstat var först med att ratificera USA:s konstitution och kallas därför ofta ”The First State”.
New Mexico|Santa Fe är huvudstad i denna sydvästliga delstat med starka spanska, mexikanska och ursprungsamerikanska kulturinfluenser.
Rhode Island|Detta är landets minsta delstat till ytan och dess huvudstad heter Providence.
Wyoming|Yellowstone ligger delvis här, och denna glest befolkade delstat var först i USA att ge kvinnor full rösträtt.

@Svenska landskap|Vad är
Skåne|Malmö, Lund och Ystad ligger i detta sydligaste svenska landskap med omfattande jordbruksmarker.
Dalarna|Falun, Siljan och den traditionella rödmålade trähästen förknippas starkt med detta landskap.
Småland|Astrid Lindgrens Vimmerby och glasriket ligger i detta skogrika landskap i södra Sverige.
Värmland|Karlstad ligger i detta landskap som gränsar till Norge och förknippas med Klarälven och Selma Lagerlöf.
Lappland|Sveriges största landskap till ytan rymmer Kebnekaise, Abisko och stora delar av landets fjällvärld.
Uppland|Uppsala och en stor del av Stockholms norra omgivningar ligger i detta landskap vid Mälaren och Östersjön.
Västergötland|Göteborg ligger delvis i detta landskap, liksom platåbergen Kinnekulle och Billingen.
Östergötland|Linköping, Norrköping och slätten kring Roxen ligger i detta landskap.
Gotland|Visby, raukar och den medeltida ringmuren finns i detta landskap som också är Sveriges största ö.
Öland|Borgholms slottsruin och Stora alvaret ligger i detta långsmala landskap öster om Kalmar.
Södermanland|Nyköping, Eskilstuna och Gripsholms slott ligger i detta landskap söder och väster om Stockholm.
Halland|Halmstad, Varberg och Falkenberg ligger längs kusten i detta västsvenska landskap.
Bohuslän|Smögen, Marstrand och en stark skärgårdskultur förknippas med detta landskap norr om Göteborg.
Jämtland|Östersund och skidorten Åre ligger i detta stora inlandslandskap nära den norska gränsen.
Hälsingland|De världsarvslistade hälsingegårdarna och staden Hudiksvall ligger i detta landskap.
Ångermanland|Höga kusten och Örnsköldsvik ligger i detta landskap där landhöjningen är särskilt tydlig.
Medelpad|Sundsvall är den största staden i detta relativt lilla norrländska landskap.
Norrbotten|Luleå och Kalix ligger i detta nordliga kustlandskap, medan landskapet Lappland tar vid längre västerut.
Västerbotten|Umeå och Skellefteå ligger i detta norrländska kustlandskap som också gett namn åt en välkänd ost.
Gästrikland|Gävle och Sandviken ligger i detta landskap som ofta räknas som porten till Norrland.
Västmanland|Västerås och Sala ligger i detta landskap som sträcker sig från Mälaren mot Bergslagen.
Närke|Örebro är den största staden i detta landskap som ligger mellan bland annat Västmanland och Västergötland.
Blekinge|Karlskrona och Karlshamn ligger i detta lilla kustlandskap i sydöstra Sverige.
Dalsland|Det glest befolkade västsvenska landskapet är känt för många sjöar, skogar och den spektakulära akvedukten i Håverud.
Härjedalen|Sveg och fjällområdet kring Funäsdalen ligger i detta glest befolkade landskap.

@Leksaker|Vad är
My Little Pony|Färgglada små ponnyfigurer lanserades av Hasbro på 1980-talet och blev senare grund för flera animerade serier.
Barbie|Den berömda modedockan lanserades av Mattel 1959 och fick senare mängder av yrken, kläder och tillbehör.
Play-Doh|Den mjuka färgade modelleran säljs i små burkar och används av barn för att forma figurer och föremål.
Hot Wheels|Mattels små leksaksbilar lanserades 1968 och körs ofta på orange plastbanor med ramper och loopar.
Bop It|Den elektroniska leksaken ropar kommandon som att trycka, vrida eller dra och spelaren måste reagera snabbt i rätt ordning.
Slinky|Den spiralformade metall- eller plastleksaken kan ”gå” nedför trappsteg genom att tyngdpunkten flyttas framåt.
Etch A Sketch|Två rattar styr en linje på en grå skärm, och bilden suddas ut genom att leksaken skakas.
Nerf|Varumärket är känt för leksaksvapen som skjuter mjuka skumprojektiler i starka färger.
Furby|Den elektroniska pälsleksaken med stora öron och ögon blev en enorm trend i slutet av 1990-talet.
Yo-yo|Den runda leksaken sitter på ett snöre och kan utföra trick när den rullar upp och ned längs linan.
Meccano|Byggsystemet använder perforerade metallremsor, skruvar och muttrar för att skapa modeller och mekaniska konstruktioner.
Beyblade|Små snurrande toppar skjuts in i en arena och tävlar om att slå ut eller överleva motståndarens topp.
Sylvanian Families|Små djurfamiljer i kläder bor i detaljerade hus och miljöer i denna långlivade japanska leksaksserie.
Transformers|Robotfigurerna kan byggas om till fordon, flygplan eller andra former och delas ofta i Autobots och Decepticons.
Action Man|Den rörliga actionfiguren lanserades i Storbritannien på 1960-talet och har ofta militär-, äventyrs- eller räddningsteman.
View-Master|Genom detta handhållna optiska leksaksverktyg tittar man på bildskivor med små stereoskopiska fotografier.
Kalejdoskop|Speglar och färgade smådelar skapar symmetriska mönster som förändras när röret vrids.
Teddy Ruxpin|Den elektroniska nallen från 1980-talet rörde mun och ögon medan den berättade historier från ljudband.
Brio-tågbana|Svenska trädelar med spår kopplas ihop till banor där små lok och vagnar kan köras runt.
Troll-dockor|De små figurerna med färgstarkt hår som står rakt upp blev populära i flera vågor från 1960-talet och framåt.
Spirograph|Kugghjul och plastmallar används med pennor för att rita precisa geometriska rosettmönster.
Subbuteo|I detta bordsspel knäpper spelarna små fotbollsfigurer mot en boll på en tygplan.
Micromachines|De extremt små leksaksfordonen marknadsfördes ofta med miniatyrstäder, garage och utvikbara lekset.
Tamagotchi Connection|Denna senare generation av digitala husdjur kunde kommunicera trådlöst med varandra på kort avstånd.
Kapla|Identiska smala trästavar staplas utan lim eller fästen för att bygga höga och avancerade konstruktioner.

@Kalla kriget|Vad är
Berlinmuren|Den byggdes 1961 för att stoppa flykten från Östberlin och blev den tydligaste symbolen för Europas delning.
avspänningen|Perioden under framför allt 1970-talet då relationerna mellan supermakterna tillfälligt blev mindre konfrontativa kallas så.
Nato|Den västliga försvarsalliansen bildades 1949 och bygger på principen att ett angrepp på en medlem berör alla.
Warszawapakten|Sovjetunionen och flera östeuropeiska stater bildade denna militära allians 1955 som motvikt till västblocket.
järnridån|Winston Churchill populariserade detta uttryck för den politiska och militära skiljelinjen mellan Öst- och Västeuropa.
kapprustningen|USA och Sovjetunionen byggde under flera decennier upp enorma lager av kärnvapen och avancerade leveranssystem i denna konkurrens.
rymdkapplöpningen|Supermakterna tävlade om satelliter, människor i rymden och till slut bemannade månlandningar.
Trumandoktrinen|USA lovade 1947 stöd till länder som ansågs hotade av kommunistiskt maktövertagande, särskilt Grekland och Turkiet.
Brezjnevdoktrinen|Denna sovjetiska princip användes för att motivera ingripanden när kommunistiskt styre ansågs hotat i östblocket.
Koreakriget|Konflikten 1950–1953 blev ett tidigt hett krig mellan kommunistiska och väststödda styrkor under supermakternas skugga.
